cr_id,abuse_ct,age_off_comp,civil_ct,complaint_date,corrupt_ct,num_awards,num_coindicated,num_complaints,numwitnesses,operations_ct,substance_ct,time_on_force,discipline,not_operations,injury,administrator,copa_style,search,reform,officer_filed_False,officer_filed_True,officer_filed_Unknown,officer_gender_FEMALE,officer_gender_MALE,officer_race_ASIAN/PACIFIC ISLANDER,officer_race_BLACK,officer_race_HISPANIC,officer_race_NATIVE AMERICAN/ALASKAN NATIVE,officer_race_WHITE
1013497,11.0,13894,0.0,2008-01-18,0.0,21.0,1,13.0,2.0,2.0,0.0,1724.0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
1073509,14.0,18651,6.0,2015-01-24,0.0,19.0,6,31.0,1.0,10.0,0.0,7292.0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
1037726,5.0,10039,3.0,2010-07-02,1.0,57.0,1,14.0,2.0,4.0,0.0,1063.0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
295701,5.0,9168,4.0,2004-02-07,2.0,68.0,1,20.0,0.0,9.0,0.0,831.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
302111,19.0,14569,1.0,2004-11-21,3.0,5.0,1,33.0,0.0,10.0,0.0,5354.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
292814,0.0,11083,1.0,2003-10-03,0.0,52.0,1,5.0,0.0,4.0,0.0,708.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1064569,11.0,14849,12.0,2013-08-29,0.0,106.0,2,25.0,2.0,2.0,0.0,3775.0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0
1028330,15.0,15174,23.0,2009-07-18,3.0,133.0,1,50.0,5.0,7.0,0.0,2336.0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
293617,10.0,11631,2.0,2003-11-06,5.0,46.0,1,27.0,0.0,10.0,0.0,2424.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
1063633,5.0,20286,3.0,2013-07-17,3.0,15.0,1,19.0,2.0,7.0,1.0,11188.0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
1003872,6.0,20150,1.0,2007-03-06,4.0,2.0,2,18.0,4.0,7.0,0.0,6276.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
307786,10.0,11550,20.0,2005-08-16,0.0,102.0,14,38.0,0.0,6.0,0.0,2143.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
286166,5.0,18589,1.0,2002-12-04,0.0,20.0,1,14.0,0.0,7.0,0.0,8090.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1006950,5.0,19534,2.0,2007-06-26,1.0,16.0,2,16.0,1.0,7.0,0.0,4557.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1059069,2.0,20439,1.0,2012-12-17,0.0,19.0,2,7.0,3.0,4.0,0.0,10115.0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
1067276,4.0,17927,1.0,2014-01-31,0.0,4.0,2,17.0,8.0,12.0,0.0,8712.0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
289903,7.0,14674,8.0,2003-06-04,1.0,28.0,3,19.0,0.0,3.0,0.0,3580.0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
293396,3.0,13450,3.0,2003-10-29,1.0,12.0,2,11.0,0.0,4.0,0.0,1374.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1032901,16.0,16437,8.0,2010-01-03,1.0,159.0,2,30.0,7.0,4.0,0.0,1587.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
288356,28.0,16881,13.0,2003-03-22,6.0,14.0,2,64.0,0.0,16.0,0.0,4406.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1004413,6.0,15422,9.0,2007-03-27,1.0,43.0,2,23.0,5.0,5.0,0.0,5381.0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
1046688,11.0,18082,2.0,2011-07-05,0.0,33.0,1,19.0,1.0,6.0,0.0,9122.0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
1047984,0.0,15576,1.0,2011-08-25,0.0,29.0,3,7.0,5.0,6.0,0.0,4273.0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
